word,frequency
barang,124
mantap,91
bagus,68
baik,65
aman,62
sesuai,62
packing,56
cepat,55
semoga,38
msi,34
sangat,32
pengiriman,32
berfungsi,30
banget,28
awet,26
seller,26
ngga,26
respon,23
bisaa,22
kualitas,21
buat,21
deskripsi,20
produk,18
bubble,18
tebal,18
pelayanan,17
monitor,16
keren,16
rapi,15
oke,15
barangnya,14
fast,14
pesanan,14
diterima,14
wrap,14
datang,13
thanks,13
selamat,12
admin,12
pc,12
harga,12
beli,11
udah,11
original,11
lama,10
terima,10
ramah,10
dicoba,10
aja,10
sekali,9
kasih,9
pokoknya,9
baru,9
pas,9
mau,9
rapih,9
jadi,9
kendala,9
kayu,9
tinggal,9
dipakai,9
cuma,9
lah,9
ssd,8
proses,8
packaging,8
puas,8
nyaman,8
good,8
mouse,8
sama,8
super,8
terimakasih,8
hari,8
masalah,8
terbaik,7
best,7
coba,7
kurir,7
kondisi,7
enak,7
lenggaap,7
ori,7
penjual,7
pake,7
tebel,7
pakai,7
garansi,6
recommended,6
responsif,6
value,6
hz,6
paket,6
praktis,6
plug,6
play,6
dulu,6
langsung,6
game,6
dead,6
pixel,6
toko,6
pertama,6
tahun,5
makasih,5
normal,5
top,5
produknya,5
vga,5
sayang,5
nunggu,5
kabel,5
sejauh,5
pelayanannya,5
lebih,5
dikasih,5
resmi,5
semua,5
spek,5
set,5
order,5
kirim,5
siap,5
selalu,5
mendarat,5
berjalan,5
service,5
jos,5
pihak,5
kurang,5
kerusakan,4
ditest,4
sampe,4
ganti,4
pertanyaan,4
paling,4
gercep,4
baut,4
nyampe,4
meskipun,4
response,4
pasang,4
berkualitas,4
bukan,4
pernah,4
sat,4
mantep,4
bekerja,4
speed,4
packingnya,4
pemakaian,4
kardus,4
kokoh,4
ternyata,4
ukuran,4
gaming,4
main,4
mulus,4
tepat,4
cukup,4
keyboardnya,4
digunakan,4
kalau,4
cacat,4
jis,4
gan,4
mobo,4
warna,4
performa,3
memuaskan,3
dipasang,3
pengirimannya,3
disini,3
jam,3
pagi,3
sabar,3
respond,3
menjawab,3
padahal,3
sebelumnya,3
headset,3
jauh,3
part,3
sukses,3
jangan,3
banyak,3
overall,3
walaupun,3
mudahan,3
membeli,3
lumayan,3
test,3
hampir,3
dah,3
sempat,3
solusi,3
lancar,3
nyala,3
akhirnya,3
kali,3
sendiri,3
membantu,3
punya,3
layar,3
jernih,3
thank,3
mantapp,3
penyok,3
asli,3
gambar,3
job,3
luar,3
biasa,3
respons,3
nice,3
mousepad,3
casing,3
ekspektasi,3
foto,3
waktu,3
memang,3
rusak,3
build,3
monitornya,3
display,3
desainnya,3
gaada,3
dikirim,3
disuruh,3
unit,3
dites,3
speaker,3
sekarang,3
merakit,3
ekspedisi,3
murah,3
karna,3
berlapis,3
semuanya,2
perfect,2
kekurangan,2
works,2
instan,2
rumah,2
orderan,2
emang,2
recommend,2
apa,2
sebulan,2
alhamdulillah,2
pembelian,2
bekas,2
psu,2
keadaan,2
earcupnya,2
lembut,2
sound,2
edit,2
besok,2
yaa,2
terus,2
saran,2
lenovo,2
seri,2
gtx,2
ddr,2
duper,2
peforma,2
spesifikasi,2
ku,2
istimewa,2
tb,2
gen,2
pengalaman,2
pemasangan,2
packagingnya,2
air,2
kondisinya,2
menggunakan,2
selama,2
budenganet,2
segini,2
gg,2
bermasalah,2
dongle,2
cs,2
menyala,2
dinyalakan,2
tempur,2
shop,2
madep,2
fps,2
sip,2
sempurna,2
minggu,2
pesan,2
kek,2
josss,2
kenceng,2
tujuan,2
desain,2
kursinya,2
empuk,2
ditambah,2
makin,2
hati,2
sedikit,2
kecewa,2
buka,2
ditangan,2
center,2
jalan,2
curved,2
cocok,2
laptop,2
pekingan,2
tokonya,2
dpt,2
atas,2
card,2
headphone,2
kerasa,2
upgrade,2
ragu,2
berbelanja,2
ngegame,2
qualitynya,2
jadwal,2
ekspetasi,2
kerja,2
thx,2
store,2
bintang,2
soal,2
usb,2
mantaap,2
cek,2
kargo,2
promo,2
komplain,2
terutama,2
port,2
min,2
tqq,2
segel,2
quality,2
mantul,2
angga,2
panjang,2
suhu,2
mudah,2
stuck,2
diupdate,2
chat,2
menghubungi,2
sumpah,2
lapis,2
besar,2
lintas,2
pulau,2
salah,2
satu,2
apapun,1
dikemas,1
sellernya,1
recomended,1
harapan,1
modern,1
speednya,1
pemesan,1
send,1
rekomend,1
pesen,1
malem,1
malam,1
mh,1
hardcore,1
fans,1
couldnt,1
happier,1
kolab,1
announced,1
kebangetulan,1
kece,1
laden,1
dirumah,1
mantappss,1
cepet,1
bangetulbarang,1
cancel,1
acara,1
sudab,1
wantidarisemalem,1
layanan,1
prima,1
extra,1
setting,1
displayport,1
bawaan,1
berlalu,1
terbantu,1
adanya,1
contrast,1
ratio,1
kaya,1
oled,1
panelpanel,1
ips,1
nyanggapake,1
kado,1
belom,1
indonesia,1
nicely,1
fit,1
tunggu,1
jemput,1
seandainya,1
legion,1
mhh,1
intel,1
ti,1
backward,1
compatible,1
slot,1
laptopnya,1
sam,1
bagusseller,1
komunikatif,1
responsepackaging,1
brand,1
new,1
fitur,1
button,1
program,1
rotate,1
potrait,1
tampilannya,1
cepatcumadapat,1
distrubor,1
biasanya,1
servis,1
centernya,1
fungsinya,1
puji,1
tuhan,1
jaya,1
pastinya,1
recomender,1
bossss,1
mormal,1
spatium,1
kapasitas,1
thinkpad,1
berikut,1
spati,1
berkah,1
ekspedisinya,1
bener,1
kerjanya,1
berlubang,1
robek,1
basah,1
kemasukan,1
pur,1
dilakukan,1
baikgoodjob,1
reliable,1
klik,1
low,1
rentang,1
alus,1
trouble,1
helpful,1
mencarikan,1
menyalanyala,1
bossque,1
setingan,1
panduan,1
terregistrasi,1
id,1
tokopedia,1
expedition,1
team,1
rekomended,1
cepatapielayanan,1
okmudahan,1
ragulan,1
impian,1
kebeli,1
kiriman,1
processor,1
terbaru,1
series,1
kencang,1
dijalankan,1
max,1
pilihan,1
gamer,1
te,1
degan,1
